world,1,1,1
world,1271,82,-1745
world,1271,82,-1744
world,1279,83,-1752
world,1265,81,-1740
world,982,85,-1458
world,1270,79,-1745
world,1256,82,-1757
world,1271,82,-1743
world,1273,82,-1747
world,1281,81,-1750
world,1250,81,-1758
world,1272,80,-1745
world,1271,81,-1734
world,1271,82,-1746
world,1262,81,-1759
world,1278,83,-1752
world,1251,81,-1758
world,1255,81,-1744
world,1277,82,-1740
world,1260,81,-1759
world,982,86,-1457
world,1248,81,-1757
world,1271,80,-1746
world,1272,80,-1747
world,1271,80,-1745
world,1260,81,-1758
world,1249,81,-1758
world,1261,81,-1759
world,1272,80,-1746
world,1279,86,-1752
world,1279,84,-1752
world,1259,81,-1759
world,1265,82,-1740
world,1270,80,-1746
world,1271,80,-1747
world,1270,80,-1745
world,1300,82,-1767
world,1260,81,-1760
world,1281,81,-1717
world,1257,81,-1757
world,1277,80,-1740
world,1270,80,-1747
world,1272,81,-1747
world,0,0,0
world,1276,82,-1747
world,1260,82,-1759
world,1279,82,-1752
world,1261,82,-1760
world,1277,82,-1747
world,1254,81,-1758
world,1275,82,-1747
world,1272,79,-1745
world,1271,80,-1734
world,1258,82,-1733
world,1278,82,-1752
world,1254,81,-1757
world,1279,81,-1717
world,1271,81,-1746
world,1276,81,-1739
world,1277,81,-1740
world,1278,81,-1742
world,1253,81,-1758
world,1238,81,-1750
world,1248,80,-1757
world,1239,81,-1751
world,1271,79,-1745
world,1238,81,-1749
world,1274,82,-1747
world,1282,81,-1750
world,1272,79,-1746
world,1275,82,-1748
world,1271,79,-1744
world,1279,85,-1752
world,1280,81,-1745
world,1264,81,-1757
